application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
5244,Male,True,3.13,Business,,590.0,5.0,Investment Banking,Reject
3511,Female,True,3.31,Humanities,,610.0,5.0,Technology,Reject
2154,Male,False,3.17,Humanities,Black,710.0,4.0,Consulting,Reject
2703,Female,False,3.08,Business,White,590.0,6.0,Other,Reject
5867,Male,False,3.24,Humanities,Black,660.0,3.0,Other,Reject
3282,Male,False,3.25,Humanities,Black,620.0,7.0,Health Care,Reject
4256,Female,False,3.21,Humanities,White,630.0,6.0,Technology,Reject
443,Female,False,3.25,STEM,White,620.0,4.0,Technology,Admit
5477,Male,False,3.22,Humanities,White,660.0,5.0,Technology,Admit
471,Male,False,3.37,Humanities,Hispanic,720.0,6.0,Nonprofit/Gov,Admit
716,Male,True,2.93,Business,,570.0,5.0,Nonprofit/Gov,Reject
1266,Male,False,3.27,Humanities,Asian,670.0,5.0,PE/VC,Reject
5361,Male,True,3.13,STEM,,630.0,6.0,Consulting,Reject
855,Male,True,3.32,Business,,700.0,5.0,Investment Banking,Admit
238,Male,False,3.45,Humanities,White,710.0,4.0,PE/VC,Admit
4102,Female,False,3.34,Humanities,Asian,720.0,6.0,PE/VC,Admit
4505,Female,True,3.36,STEM,,710.0,4.0,Other,Admit
4787,Female,False,3.38,STEM,White,750.0,4.0,Investment Banking,Admit
3228,Female,True,3.44,Business,,700.0,4.0,Investment Banking,Reject
2584,Male,False,3.63,Business,White,720.0,5.0,Technology,Admit
3125,Male,False,3.32,STEM,Black,680.0,6.0,Health Care,Admit
5238,Male,True,3.32,Business,,690.0,4.0,Investment Banking,Reject
243,Male,True,3.15,Humanities,,590.0,5.0,Investment Management,Reject
1091,Female,True,3.38,Business,,700.0,6.0,Financial Services,Reject
4333,Male,True,3.11,Humanities,,600.0,3.0,PE/VC,Reject
426,Female,True,3.0,Humanities,,630.0,5.0,Consulting,Admit
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,Reject
5612,Male,False,3.29,Business,Hispanic,620.0,8.0,Technology,Reject
2148,Male,True,3.4,STEM,,690.0,4.0,PE/VC,Admit
2422,Female,False,3.39,STEM,Asian,680.0,5.0,Consulting,Admit
365,Female,False,3.42,Humanities,White,700.0,6.0,Consulting,Admit
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,Reject
5601,Male,True,3.44,Business,,650.0,5.0,Consulting,Reject
914,Male,False,3.1,Humanities,Asian,590.0,4.0,PE/VC,Reject
649,Male,False,3.37,Business,Asian,680.0,4.0,Technology,Admit
5980,Female,False,3.11,Humanities,Black,650.0,5.0,Investment Management,Reject
3226,Male,True,3.26,Business,,580.0,5.0,Energy,Reject
961,Female,True,3.45,Humanities,,670.0,5.0,PE/VC,Admit
803,Male,True,3.45,Business,,680.0,5.0,Financial Services,Admit
533,Male,False,3.48,STEM,Black,690.0,5.0,Investment Banking,Admit
3252,Female,False,3.27,Business,Hispanic,680.0,4.0,Nonprofit/Gov,Admit
3604,Female,True,3.22,Humanities,,700.0,5.0,Consulting,Reject
5688,Male,False,3.55,Business,Hispanic,660.0,4.0,Technology,Admit
3208,Female,True,3.52,Humanities,,670.0,7.0,Consulting,Admit
338,Female,True,3.29,Humanities,,690.0,4.0,Financial Services,Admit
4962,Male,False,3.21,Humanities,Black,600.0,5.0,Consulting,Reject
625,Male,True,3.33,Humanities,,710.0,7.0,Health Care,Admit
5825,Male,False,3.36,STEM,White,610.0,5.0,PE/VC,Reject
4917,Male,True,3.27,STEM,,640.0,7.0,Technology,Reject
5379,Male,False,3.3,STEM,Black,590.0,6.0,Technology,Reject
5851,Female,False,3.25,Business,White,670.0,4.0,Other,Admit
3661,Male,False,3.34,STEM,Asian,690.0,4.0,Investment Banking,Admit
4983,Female,False,3.24,STEM,Asian,690.0,6.0,Consulting,Admit
6154,Male,True,3.17,Business,,610.0,6.0,Consulting,Reject
2639,Female,False,3.0,Business,Asian,680.0,4.0,Health Care,Reject
2566,Female,False,3.3,Humanities,White,660.0,4.0,Other,Admit
3709,Male,True,3.3,Humanities,,640.0,6.0,Consulting,Reject
1595,Male,False,3.25,Business,White,730.0,5.0,Consulting,Admit
5387,Male,False,3.23,Humanities,Asian,680.0,5.0,Investment Management,Admit
3751,Female,False,3.27,Business,Asian,700.0,7.0,Consulting,Reject
700,Male,True,3.3,Humanities,,630.0,4.0,Investment Banking,Reject
2773,Female,False,3.22,Business,White,690.0,6.0,Technology,Admit
2722,Female,False,3.39,Humanities,White,680.0,5.0,Technology,Admit
882,Male,True,3.41,Business,,710.0,7.0,PE/VC,Admit
5986,Male,True,3.23,STEM,,630.0,5.0,Health Care,Reject
459,Female,False,3.17,Business,Other,660.0,6.0,Technology,Admit
2818,Male,False,3.32,STEM,Asian,720.0,4.0,Technology,Admit
5068,Female,False,3.34,Humanities,Black,740.0,4.0,Consulting,Admit
5799,Female,False,3.27,Humanities,Other,730.0,5.0,Other,Admit
5400,Male,False,3.32,Business,Other,730.0,5.0,Investment Management,Admit
1196,Male,False,3.59,Humanities,Black,710.0,6.0,Investment Banking,Admit
4645,Female,False,3.3,Business,Asian,780.0,5.0,Other,Admit
4152,Female,False,3.58,STEM,Asian,700.0,4.0,PE/VC,Admit
3178,Female,True,3.36,Business,,640.0,6.0,Health Care,Reject
1978,Male,False,3.15,STEM,White,590.0,6.0,Consulting,Reject
5420,Male,False,3.42,Business,Black,690.0,4.0,Investment Banking,Admit
3533,Female,False,3.28,Humanities,White,670.0,8.0,Consulting,Admit
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit
4784,Female,False,3.14,Humanities,Asian,630.0,4.0,Nonprofit/Gov,Reject
143,Female,True,3.48,STEM,,780.0,5.0,PE/VC,Admit
1415,Male,False,3.2,STEM,White,730.0,4.0,Consulting,Reject
3423,Male,False,3.28,STEM,White,650.0,5.0,PE/VC,Reject
1784,Female,True,3.33,Humanities,,660.0,4.0,PE/VC,Reject
4257,Male,False,3.35,STEM,Hispanic,720.0,5.0,Consulting,Admit
3394,Female,False,3.53,Humanities,Hispanic,780.0,6.0,Nonprofit/Gov,Admit
4793,Female,False,3.44,Business,White,720.0,6.0,Consulting,Admit
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit
1701,Male,False,3.16,Humanities,Asian,580.0,4.0,Consulting,Reject
6003,Male,False,3.35,Humanities,Asian,690.0,5.0,Other,Admit
2710,Female,False,3.55,Business,Hispanic,660.0,6.0,Health Care,Reject
2670,Female,False,3.09,Humanities,Black,600.0,5.0,Consulting,Reject
1866,Male,False,3.26,STEM,Other,660.0,6.0,Consulting,Admit
5098,Male,False,3.45,Humanities,Asian,650.0,5.0,PE/VC,Reject
1401,Male,False,3.31,STEM,Black,680.0,6.0,PE/VC,Admit
5782,Male,False,3.37,Humanities,Asian,710.0,4.0,Technology,Admit
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit
5539,Male,False,3.09,Humanities,Asian,590.0,2.0,Consulting,Reject
5227,Male,True,3.27,Humanities,,660.0,5.0,Health Care,Admit
2547,Male,False,3.09,Humanities,Asian,570.0,5.0,Consulting,Reject
2104,Male,False,3.27,Business,Asian,670.0,6.0,CPG,Admit
1182,Female,False,3.26,STEM,White,720.0,4.0,Financial Services,Admit
251,Male,False,3.3,Humanities,Asian,660.0,4.0,Investment Banking,Reject
652,Male,True,3.33,Business,,690.0,3.0,Consulting,Admit
5674,Male,False,3.35,STEM,Asian,570.0,5.0,Consulting,Reject
3285,Male,False,3.08,Humanities,Hispanic,660.0,5.0,Health Care,Reject
4279,Male,False,3.24,STEM,White,680.0,5.0,Consulting,Admit
4592,Female,False,3.29,Humanities,White,680.0,5.0,Financial Services,Admit
1971,Male,False,3.25,Business,Asian,660.0,5.0,Financial Services,Reject
4646,Female,True,3.19,Humanities,,660.0,6.0,PE/VC,Reject
346,Male,True,3.58,STEM,,710.0,5.0,Investment Banking,Admit
149,Male,False,3.32,Humanities,Asian,660.0,4.0,Investment Banking,Reject
3753,Male,False,3.28,STEM,Asian,690.0,5.0,Other,Admit
3163,Male,True,3.12,Humanities,,610.0,4.0,Retail,Reject
1239,Male,False,3.29,Humanities,Other,770.0,5.0,Financial Services,Admit
5875,Female,False,3.42,Business,Black,680.0,4.0,Consulting,Admit
2302,Male,False,3.24,STEM,White,630.0,5.0,Investment Banking,Reject
405,Female,False,3.36,Business,White,620.0,4.0,PE/VC,Admit
1637,Male,False,3.5,STEM,Asian,760.0,3.0,Technology,Reject
1983,Male,False,3.43,Humanities,White,730.0,5.0,Other,Admit
521,Male,False,3.32,Business,Asian,610.0,5.0,Nonprofit/Gov,Reject
3711,Male,False,3.41,Business,Asian,640.0,5.0,PE/VC,Reject
322,Female,True,3.24,STEM,,610.0,5.0,Other,Admit
3473,Female,False,3.0,Business,White,620.0,3.0,Consulting,Reject
2260,Female,False,3.4,STEM,White,730.0,5.0,Nonprofit/Gov,Admit
5605,Female,True,3.42,Humanities,,670.0,6.0,Nonprofit/Gov,Admit
1357,Male,True,3.16,STEM,,660.0,6.0,Nonprofit/Gov,Reject
1912,Male,True,3.65,STEM,,730.0,5.0,Consulting,Admit
6011,Male,True,3.2,Humanities,,620.0,7.0,Consulting,Reject
4516,Male,False,3.24,Business,Asian,730.0,6.0,Investment Management,Admit
4232,Male,True,3.21,STEM,,570.0,5.0,Consulting,Reject
3836,Female,False,3.45,STEM,White,750.0,5.0,Other,Admit
768,Male,False,3.46,Humanities,White,770.0,6.0,PE/VC,Admit
3570,Male,False,3.46,Business,Other,690.0,5.0,Consulting,Admit
2717,Female,False,3.04,Business,Black,620.0,6.0,Nonprofit/Gov,Reject
5923,Female,True,3.28,STEM,,640.0,5.0,PE/VC,Reject
1377,Male,False,3.58,STEM,Black,660.0,5.0,Technology,Admit
4048,Male,False,3.21,Humanities,White,620.0,6.0,Nonprofit/Gov,Reject
5934,Male,False,3.35,STEM,White,630.0,4.0,PE/VC,Reject
1396,Male,True,3.49,STEM,,670.0,5.0,Consulting,Admit
3585,Female,True,3.35,STEM,,670.0,5.0,Real Estate,Reject
4503,Female,True,3.32,STEM,,640.0,7.0,Other,Reject
1614,Female,False,3.26,Humanities,White,640.0,4.0,Other,Reject
259,Male,False,3.33,STEM,Black,670.0,3.0,Technology,Reject
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit
4383,Male,False,3.55,STEM,Black,700.0,5.0,PE/VC,Admit
5949,Male,True,3.36,Humanities,,650.0,6.0,Nonprofit/Gov,Reject
682,Male,False,3.26,Business,White,740.0,6.0,Consulting,Admit
2694,Male,False,3.37,STEM,Asian,680.0,5.0,Nonprofit/Gov,Admit
799,Male,False,3.25,STEM,Hispanic,740.0,5.0,PE/VC,Admit
58,Female,True,3.05,Business,,650.0,7.0,Health Care,Admit
6114,Male,False,3.12,Business,White,660.0,3.0,Technology,Reject
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,Admit
212,Female,False,3.44,Business,White,750.0,5.0,Technology,Admit
1197,Male,False,3.5,STEM,Black,730.0,5.0,Other,Admit
942,Male,False,3.08,STEM,Asian,570.0,4.0,Nonprofit/Gov,Reject
5274,Male,False,3.44,Business,White,750.0,3.0,PE/VC,Admit
5554,Male,False,3.35,Humanities,White,690.0,4.0,Financial Services,Admit
356,Male,False,3.37,STEM,White,690.0,5.0,Consulting,Admit
4161,Male,True,3.28,STEM,,670.0,5.0,PE/VC,Admit
5664,Male,False,3.32,STEM,White,680.0,6.0,Health Care,Admit
5616,Female,True,3.54,Business,,670.0,7.0,PE/VC,Reject
1640,Male,False,3.32,STEM,Black,680.0,5.0,Technology,Admit
920,Male,False,3.46,Business,Asian,680.0,6.0,Nonprofit/Gov,Admit
5351,Male,False,3.58,Humanities,Asian,670.0,5.0,Financial Services,Reject
573,Male,True,3.29,Business,,670.0,4.0,Consulting,Reject
502,Male,False,2.96,Humanities,Black,620.0,5.0,PE/VC,Reject
2764,Male,False,3.26,Business,Asian,680.0,6.0,Technology,Admit
2990,Male,True,3.22,Business,,650.0,5.0,Technology,Reject
2536,Female,False,3.3,STEM,Hispanic,650.0,4.0,Financial Services,Reject
494,Female,True,3.18,STEM,,620.0,4.0,Nonprofit/Gov,Admit
